From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Dunfermline,,"1689, Jan 20",1,Jacobite Papers,GD26/8/1
Person,Robert Gordon,Elgin,WROTE LETTER TO,Person,Countess Dunfermline,,"1689, Feb 2",1,Jacobite Papers,GD26/8/2
Person,Alexander Innes,Edinburgh,WROTE LETTER TO,Person,Dunfermline,,"1689, Feb 14",1,Jacobite Papers,GD26/8/3
Person,David Burnet,Unknown,WROTE LETTER TO,Person,Dunfermline,,"1689, Feb 19",1,Jacobite Papers,GD26/8/4
Person,G. Gordon,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Mar 23",1,Jacobite Papers,GD26/8/5
Person,King James,Dublin,Proclamation,Group,Subjects,,"1689, Apr 1",1,Jacobite Papers,GD26/8/6
Person,Charles Oliphant,Edinburgh,WROTE LETTER TO,Person,Dunfermline,,"1689, Apr 8",1,Jacobite Papers,GD26/8/7
Person,George Milne,Aberdeen,WROTE LETTER TO,Person,Unknown,,"1689, Apr 13",1,Jacobite Papers,GD26/8/8
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Apr 20",1,Jacobite Papers,GD26/8/9
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Apr 23",1,Jacobite Papers,GD26/8/10
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Apr 28",1,Jacobite Papers,GD26/8/11
Person,Unknown,Unknown,WROTE LETTER TO,Person,Unknown,,"1689, May 2",1,Jacobite Papers,GD26/8/12
Person,Janet Brodie,Castle Grant,WROTE LETTER TO,Person,Alexander Chisholm,,"1689, May 3",1,Jacobite Papers,GD26/8/13
Person,King James,Dublin,Proclamation,Organization,Parliament,,"1689, May 4",1,Jacobite Papers,GD26/8/14
Person,King James,Dublin Castle,WROTE LETTER TO,Person,Dundee,,"1689, May 17",1,Jacobite Papers,GD26/8/15
Person,Viscount Massereene,Chilham Castle,WROTE LETTER TO,Person,John How,"Wellbrook, County Tyrone","1689, May 31",1,Jacobite Papers,GD26/8/16
Person,J. Hay,Unknown,WROTE LETTER TO,Person,Melville,,"1689, Jun 1",1,Jacobite Papers,GD26/8/17
Person,Unknown,Edinburgh,Information,Person,Unknown,,"1690, Jun 11",1,Jacobite Papers,GD26/8/18
Person,"McNaughton, younger",Unknown,WROTE LETTER TO,Person,Mrs. McNaughton,,"1689, Jun 25",1,Jacobite Papers,GD26/8/19
Person,Alexander McLean,Lochaber,WROTE LETTER TO,Person,McNaughton,,"1689, Jun 27",1,Jacobite Papers,GD26/8/20
Person,Lt. Col. James Auchenbruc,Inverary,Warrant,Person,Lt. Colin Fairfull,,"1689, Jul 5",1,Jacobite Papers,GD26/8/21
Person,Lt. Col. James Auchenbruc,Inverary,Warrant,Person,Lt. Colin Fairfull,,"1689, Jul 5",1,Jacobite Papers,GD26/8/22
Person,Countess of Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Jul 18",1,Jacobite Papers,GD26/8/23
Person,Adam Blair,London,WROTE LETTER TO,Person,Mr. Graham,Edinburgh,"1689, Jul 23",1,Jacobite Papers,GD26/8/24
Person,Alexander Stewart,Blair Atholl,WROTE LETTER TO,Person,Lt. General of H.M. Forces in Scotland,,"1689, Jul 31",1,Jacobite Papers,GD26/8/25
Person,I. Campbell,Castle Kilchurn,WROTE LETTER TO,Person,Her husband*,,"1689, Aug 5",1,Jacobite Papers,GD26/8/26
Group,Lord Strathallan; Perth,Unknown,Examination,Person,Colin Campbell,,"1689, Aug 6",1,Jacobite Papers,GD26/8/27
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Aug 10",1,Jacobite Papers,GD26/8/28
Person,Unknown,England,Report,Person,Unknown,,"1689, Aug 22",1,Jacobite Papers,GD26/8/29
Group,Highland Chieftains,Unknown,Agreement,Group,Highland Chieftains,,"1689, Aug 24",1,Jacobite Papers,GD26/8/30
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Aug 24",1,Jacobite Papers,GD26/8/31
Person,James Hamilton,Blair Atholl,WROTE LETTER TO,Person,Unknown,,"1689, Aug 24",1,Jacobite Papers,GD26/8/32
Person,Lady Dunfermline,Fyvie,WROTE LETTER TO,Person,Dunfermline,,"1689, Aug 27",1,Jacobite Papers,GD26/8/33
Person,Gibert Elliot,Edinburgh,WROTE LETTER TO,Person,Unknown,,"1689, Aug 27",1,Jacobite Papers,GD26/8/34
Person,Lord Drummond,Brae of Rannoch,WROTE LETTER TO,Person,Unknown,,"1689, Aug 29",1,Jacobite Papers,GD26/8/35
Person,Colin Mackenzie,Brae of Rannoch,WROTE LETTER TO,Person,Melfort,,"1689, Aug 29",1,Jacobite Papers,GD26/8/36
Person,Colin Mackenzie,Brae of Rannoch,WROTE LETTER TO,Person,Seaforth,,"1689, Aug 29",1,Jacobite Papers,GD26/8/37
Group,Tenants of Cardross,Cardross,WROTE LETTER TO,Person,Lord Cardross,,"1689, Sep 6",1,Jacobite Papers,GD26/8/38
Person,McLean,Duart,WROTE LETTER TO,Person,Melfort,Dublin,"1689, Sep 12",1,Jacobite Papers,GD26/8/39
Person,McLean,Duart,WROTE LETTER TO,Person,Countess Antrim,Antrim,"1689, Sep 12",1,Jacobite Papers,GD26/8/40
Person,David Graham,Perth,WROTE LETTER TO,Person,Canon,,"1689, Sep 19",1,Jacobite Papers,GD26/8/41
Person,McNaughton,Aros,WROTE LETTER TO,Person,Cornet James Crawford,,"1689, Sep 19",1,Jacobite Papers,GD26/8/42
Person,Unknown,Unknown,WROTE LETTER TO,Person,Dunfermline,,"1689, Sep 24",1,Jacobite Papers,GD26/8/43
Person,Alexander McDowall,Invergarry,WROTE LETTER TO,Person,John McNaughton,,"1689, Sep",1,Jacobite Papers,GD26/8/44
Person,Hugh Campbell of Cawdor,Unknown,Pass,Person,Alexander Kennedy,,"1689, Oct 3",1,Jacobite Papers,GD26/8/45
Group,Highland Chieftains,Inverlochy,Declaration,Person,King James ,Dublin,"1689, Oct 3",1,Jacobite Papers,GD26/8/46
Person,David Graham,Perth,WROTE LETTER TO,Person,Canon,,"1689, Oct 12",1,Jacobite Papers,GD26/8/47
Group,James Fountain; William Douglas,Duart,WROTE LETTER TO,Person,Canon,,"1689, Oct 12",1,Jacobite Papers,GD26/8/48
Person,Thomas Bass,"Paris, France",WROTE LETTER TO,Person,Unknown,,"1689, Oct 15",1,Jacobite Papers,GD26/8/49
